SampleID	ExpDate	BioRep	TechRep	Treatment	ugProteinPullDown	uLTrypsinizedPeptide
1	6/2/23	1	1	TDI-015668-Ir	500	35
2	6/2/23	1	2	TDI-015668-Ir	500	35
3	6/2/23	1	3	TDI-015668-Ir	500	35
4	6/2/23	1	1	TDI-015668-Ir + TDI-015668	500	35
5	6/2/23	1	2	TDI-015668-Ir + TDI-015668	500	35
6	6/2/23	1	3	TDI-015668-Ir + TDI-015668	500	35
7	6/2/23	1	1	TDI-015836-Ir	500	35
8	6/2/23	1	2	TDI-015836-Ir	500	35
9	6/2/23	1	3	TDI-015836-Ir	500	35
10	6/2/23	1	1	TDI-015836-Ir + TDI-015836	500	35
11	6/2/23	1	2	TDI-015836-Ir + TDI-015836	500	35
12	6/2/23	1	3	TDI-015836-Ir + TDI-015836	500	35
13	6/4/23	2	1	TDI-015668-Ir	500	35
14	6/4/23	2	2	TDI-015668-Ir	500	35
15	6/4/23	2	3	TDI-015668-Ir	500	35
16	6/4/23	2	1	TDI-015668-Ir + TDI-015668	500	35
17	6/4/23	2	2	TDI-015668-Ir + TDI-015668	500	35
18	6/4/23	2	3	TDI-015668-Ir + TDI-015668	500	35
19	6/4/23	2	1	TDI-015836-Ir	500	35
20	6/4/23	2	2	TDI-015836-Ir	500	35
21	6/4/23	2	3	TDI-015836-Ir	500	35
22	6/4/23	2	1	TDI-015836-Ir + TDI-015836	500	35
23	6/4/23	2	2	TDI-015836-Ir + TDI-015836	500	35
24	6/4/23	2	3	TDI-015836-Ir + TDI-015836	500	35
25	6/6/23	3	1	TDI-015668-Ir	500	35
26	6/6/23	3	2	TDI-015668-Ir	500	35
27	6/6/23	3	3	TDI-015668-Ir	500	35
28	6/6/23	3	1	TDI-015668-Ir + TDI-015668	500	35
29	6/6/23	3	2	TDI-015668-Ir + TDI-015668	500	35
30	6/6/23	3	3	TDI-015668-Ir + TDI-015668	500	35
31	6/6/23	3	1	TDI-015836-Ir	500	35
32	6/6/23	3	2	TDI-015836-Ir	500	35
33	6/6/23	3	3	TDI-015836-Ir	500	35
34	6/6/23	3	1	TDI-015836-Ir + TDI-015836	500	35
35	6/6/23	3	2	TDI-015836-Ir + TDI-015836	500	35
36	6/6/23	3	3	TDI-015836-Ir + TDI-015836	500	35
